Name,Description,Unit,DataType,Attributes
ClickHouseAsyncMetrics_BlockReadTime_ram0,,,Gauge,
ClickHouseAsyncMetrics_NumberOfTables,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_nbd2,,,Gauge,
ClickHouseProfileEvents_ReplicatedPartChecks,,,Sum,
ClickHouseProfileEvents_RemoteFSLazySeeks,Number of lazy seeks,,Sum,
ClickHouseAsyncMetrics_BlockWriteOps_ram12,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteOps_nbd6,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_nbd7,,,Gauge,
ClickHouseAsyncMetrics_BlockReadBytes_ram2,,,Gauge,
ClickHouseProfileEvents_WriteBufferFromFileDescriptorWriteFailed,Number of times the write (write/pwrite) to a file descriptor have failed.,,Sum,
ClickHouseAsyncMetrics_BlockReadOps_ram14,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_ram14,,,Gauge,
ClickHouseAsyncMetrics_ReplicasMaxMergesInQueue,,,Gauge,
ClickHouseAsyncMetrics_jemalloc_arenas_all_pactive,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_ram9,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_ram10,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_nbd8,,,Gauge,
ClickHouseAsyncMetrics_BlockQueueTime_nbd6,,,Gauge,
ClickHouseAsyncMetrics_BlockActiveTime_ram1,,,Gauge,
ClickHouseAsyncMetrics_BlockWriteBytes_ram11,,,Gauge,
ClickHouseProfileEvents_UncompressedCacheWeightLost,,,Sum,
ClickHouseAsyncMetrics_BlockQueueTime_nbd3,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_ram9,,,Gauge,
ClickHouseAsyncMetrics_OSSystemTimeCPU0,,,Gauge,
ClickHouseProfileEvents_DiskWriteElapsedMicroseconds,Total time spent waiting for write syscall. This include writes to page cache.,,Sum,
ClickHouseAsyncMetrics_UncompressedCacheCells,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardTime_nbd8,,,Gauge,
ClickHouseAsyncMetrics_OSSoftIrqTimeCPU1,,,Gauge,
ClickHouseProfileEvents_DictCacheKeysRequested,,,Sum,
ClickHouseMetrics_CacheDictionaryUpdateQueueKeys,Exact number of keys in update queue in CacheDictionaries.,,Gauge,
ClickHouseAsyncMetrics_DiskUsed_default,,,Gauge,
ClickHouseAsyncMetrics_BlockReadTime_nbd3,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_ram0,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardMerges_nbd9,,,Gauge,
ClickHouseAsyncMetrics_OSStealTimeCPU2,,,Gauge,
ClickHouseAsyncMetrics_BlockInFlightOps_nbd0,,,Gauge,
ClickHouseAsyncMetrics_BlockDiscardBytes_nbd9,,,Gauge,
